2023-09-27 20:28:06,459 p=21388 u=belov n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see details
2023-09-27 20:29:06,401 p=21425 u=belov n=ansible | RUNNING HANDLER [geerlingguy.nginx : reload nginx] ****************************************************************************************************************************************************************
2023-09-27 20:29:07,416 p=21425 u=belov n=ansible | changed: [vm-1]
2023-09-27 20:29:07,494 p=21425 u=belov n=ansible | changed: [vm-2]
2023-09-27 20:29:07,505 p=21425 u=belov n=ansible | PLAY [setting up nginx] *******************************************************************************************************************************************************************************************
2023-09-27 20:29:07,509 p=21425 u=belov n=ansible | TASK [Gathering Facts] ********************************************************************************************************************************************************************************************
2023-09-27 20:29:09,171 p=21425 u=belov n=ansible | ok: [vm-1]
2023-09-27 20:29:09,287 p=21425 u=belov n=ansible | ok: [vm-2]
2023-09-27 20:29:09,309 p=21425 u=belov n=ansible | TASK [copy index] *************************************************************************************************************************************************************************************************
2023-09-27 20:29:11,021 p=21425 u=belov n=ansible | changed: [vm-1]
2023-09-27 20:29:11,190 p=21425 u=belov n=ansible | changed: [vm-2]
2023-09-27 20:29:11,193 p=21425 u=belov n=ansible | TASK [copy web.conf] **********************************************************************************************************************************************************************************************
2023-09-27 20:29:12,816 p=21425 u=belov n=ansible | changed: [vm-1]
2023-09-27 20:29:12,818 p=21425 u=belov n=ansible | changed: [vm-2]
2023-09-27 20:29:12,821 p=21425 u=belov n=ansible | TASK [copy stub_status.conf] **************************************************************************************************************************************************************************************
2023-09-27 20:29:14,284 p=21425 u=belov n=ansible | changed: [vm-1]
2023-09-27 20:29:14,320 p=21425 u=belov n=ansible | changed: [vm-2]
2023-09-27 20:29:14,323 p=21425 u=belov n=ansible | TASK [copy nginx.conf] ********************************************************************************************************************************************************************************************
2023-09-27 20:29:16,060 p=21425 u=belov n=ansible | changed: [vm-1]
2023-09-27 20:29:16,061 p=21425 u=belov n=ansible | changed: [vm-2]
2023-09-27 20:29:16,063 p=21425 u=belov n=ansible | TASK [start nginx] ************************************************************************************************************************************************************************************************
2023-09-27 20:29:17,046 p=21425 u=belov n=ansible | ok: [vm-2]
2023-09-27 20:29:17,059 p=21425 u=belov n=ansible | ok: [vm-1]
2023-09-27 20:29:17,076 p=21425 u=belov n=ansible | RUNNING HANDLER [restart nginx] ***********************************************************************************************************************************************************************************
2023-09-27 20:29:18,328 p=21425 u=belov n=ansible | changed: [vm-1]
2023-09-27 20:29:18,346 p=21425 u=belov n=ansible | changed: [vm-2]
2023-09-27 20:29:18,358 p=21425 u=belov n=ansible | PLAY [install postgresql] *****************************************************************************************************************************************************************************************
2023-09-27 20:29:18,361 p=21425 u=belov n=ansible | TASK [Gathering Facts] ********************************************************************************************************************************************************************************************
2023-09-27 20:29:21,807 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:29:21,814 p=21425 u=belov n=ansible | TASK [psql : install postgresql libpq pip] ************************************************************************************************************************************************************************
2023-09-27 20:30:56,774 p=21425 u=belov n=ansible | changed: [zabbix_server]
2023-09-27 20:30:56,777 p=21425 u=belov n=ansible | TASK [psql : install psycopg2] ************************************************************************************************************************************************************************************
2023-09-27 20:31:00,808 p=21425 u=belov n=ansible | changed: [zabbix_server]
2023-09-27 20:31:00,811 p=21425 u=belov n=ansible | TASK [psql : start postgresql] ************************************************************************************************************************************************************************************
2023-09-27 20:31:02,237 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:02,296 p=21425 u=belov n=ansible | PLAY [install zabbix-server] **************************************************************************************************************************************************************************************
2023-09-27 20:31:02,319 p=21425 u=belov n=ansible | TASK [Gathering Facts] ********************************************************************************************************************************************************************************************
2023-09-27 20:31:03,746 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:03,799 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Include OS-specific variables.] ********************************************************************************************************************************************************
2023-09-27 20:31:03,812 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:03,832 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Include variables for Amazon Linux.] ***************************************************************************************************************************************************
2023-09-27 20:31:03,843 p=21425 u=belov n=ansible | skipping: [zabbix_server]
2023-09-27 20:31:03,863 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Define apache_packages.] ***************************************************************************************************************************************************************
2023-09-27 20:31:03,899 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:03,921 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : include_tasks] *************************************************************************************************************************************************************************
2023-09-27 20:31:03,953 p=21425 u=belov n=ansible | included: /home/belov/.ansible/roles/geerlingguy.apache/tasks/setup-Debian.yml for zabbix_server
2023-09-27 20:31:03,982 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Update apt cache.] *********************************************************************************************************************************************************************
2023-09-27 20:31:05,364 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:05,381 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Ensure Apache is installed on Debian.] *************************************************************************************************************************************************
2023-09-27 20:31:19,980 p=21425 u=belov n=ansible | changed: [zabbix_server]
2023-09-27 20:31:20,002 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Get installed version of Apache.] ******************************************************************************************************************************************************
2023-09-27 20:31:21,201 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:21,224 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Create apache_version variable.] *******************************************************************************************************************************************************
2023-09-27 20:31:21,241 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:21,257 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Include Apache 2.2 variables.] *********************************************************************************************************************************************************
2023-09-27 20:31:21,272 p=21425 u=belov n=ansible | skipping: [zabbix_server]
2023-09-27 20:31:21,289 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Include Apache 2.4 variables.] *********************************************************************************************************************************************************
2023-09-27 20:31:21,307 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:21,323 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Configure Apache.] *********************************************************************************************************************************************************************
2023-09-27 20:31:21,356 p=21425 u=belov n=ansible | included: /home/belov/.ansible/roles/geerlingguy.apache/tasks/configure-Debian.yml for zabbix_server
2023-09-27 20:31:21,390 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Configure Apache.] *********************************************************************************************************************************************************************
2023-09-27 20:31:22,271 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item={'regexp': '^Listen ', 'line': 'Listen 80'})
2023-09-27 20:31:22,290 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Enable Apache mods.] *******************************************************************************************************************************************************************
2023-09-27 20:31:23,154 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=rewrite)
2023-09-27 20:31:24,298 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=ssl)
2023-09-27 20:31:24,315 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Disable Apache mods.] ******************************************************************************************************************************************************************
2023-09-27 20:31:24,325 p=21425 u=belov n=ansible | skipping: [zabbix_server]
2023-09-27 20:31:24,350 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Check whether certificates defined in vhosts exist.] ***********************************************************************************************************************************
2023-09-27 20:31:24,360 p=21425 u=belov n=ansible | skipping: [zabbix_server]
2023-09-27 20:31:24,376 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Add apache vhosts configuration.] ******************************************************************************************************************************************************
2023-09-27 20:31:26,061 p=21425 u=belov n=ansible | changed: [zabbix_server]
2023-09-27 20:31:26,092 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Add vhost symlink in sites-enabled.] ***************************************************************************************************************************************************
2023-09-27 20:31:26,900 p=21425 u=belov n=ansible | changed: [zabbix_server]
2023-09-27 20:31:26,917 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Remove default vhost in sites-enabled.] ************************************************************************************************************************************************
2023-09-27 20:31:26,931 p=21425 u=belov n=ansible | skipping: [zabbix_server]
2023-09-27 20:31:26,951 p=21425 u=belov n=ansible | TASK [geerlingguy.apache : Ensure Apache has selected state and enabled on boot.] *********************************************************************************************************************************
2023-09-27 20:31:28,066 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:28,102 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Include OS-specific variables.] ***********************************************************************************************************************************************************
2023-09-27 20:31:28,114 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:28,131 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Include distribution and version-specific vars.] ******************************************************************************************************************************************
2023-09-27 20:31:28,150 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/home/belov/.ansible/roles/geerlingguy.php/vars/Debian-11.yml)
2023-09-27 20:31:28,170 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Set the default PHP version for Debian-based OSes.] ***************************************************************************************************************************************
2023-09-27 20:31:28,197 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:28,216 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Define the name of the JSON extension package on Debian for PHP <8.] **********************************************************************************************************************
2023-09-27 20:31:28,235 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:28,251 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Add the JSON extension on Debian for PHP <8.] *********************************************************************************************************************************************
2023-09-27 20:31:28,278 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:28,295 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Define php_packages.] *********************************************************************************************************************************************************************
2023-09-27 20:31:28,330 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:28,347 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Define php_webserver_daemon.] *************************************************************************************************************************************************************
2023-09-27 20:31:28,369 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:28,389 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Define php_conf_paths.] *******************************************************************************************************************************************************************
2023-09-27 20:31:28,410 p=21425 u=belov n=ansible | ok: [zabbix_server]
